2019-05-29 13:58:30 INFO  Car - Speed:   0.0; Angle:   EAST; Position: 14,10; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 297.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 13,10; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 296.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 12,10; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 295.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 11,10; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 294.0; Tile: ROAD
2019-05-29 13:58:30 INFO  Car - Speed:   1.0; Angle:   EAST; Position: 10,10; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 293.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position: 10,10; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 293.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position: 10,11; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 292.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   0.0; Angle:   EAST; Position: 10,11; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 292.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  9,11; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 291.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  8,11; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 290.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position:  8,11; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 290.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,12; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 289.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  8,13; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 288.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   0.0; Angle:   EAST; Position:  8,13; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 288.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  7,13; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 287.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  6,13; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 286.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  5,13; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 285.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   0.0; Angle:  SOUTH; Position:  5,13; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 285.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  5,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 284.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   0.0; Angle:   WEST; Position:  5,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 284.0; Tile: ROAD
2019-05-29 13:58:31 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  6,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 283.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  7,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 282.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  8,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 281.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  9,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 280.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 10,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 279.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 11,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 278.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 12,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 277.0; Tile: ROAD
2019-05-29 13:58:32 INFO  Car - Speed:   1.0; Angle:   WEST; Position: 13,14; Parcels:      2; Health:  30.0; Health Usage:  45.0; Fuel: 276.0; Tile: ROAD
